review	Liked
fry hot neither wa burger	0
came back cold	0
food came disappointment ensued	0
real disappointment wa waiter	0
husband said wa rude even apologize bad food anything	0
reason eat would fill night binge drinking get carbs stomach	0
insult profound deuchebaggery go outside smoke break serving solidify	0
someone order two taco think may part customer service ask combo ala cart	0
wa quite disappointed although blame need placed door	0
rave review wait eat disappointment	0
del taco pretty nasty avoided possible	0
hard make decent hamburger	0
like	0
hell go back	0
gotten much better service pizza place next door service received restaurant	0
know big deal place back ya	0
immediately said wanted talk manager want talk guy wa shot fireball behind bar	0
ambiance much better	0
unfortunately set u disapppointment entree	0
food good	0
server suck wait correction server heimer sucked	0
happened next wa pretty putting	0
bad cause know family owned really wanted like place	0
overpriced getting	0
vomited bathroom mid lunch	0
kept looking time soon become minute yet still food	0
place eat circumstance would ever return top list	0
started tuna sashimi wa brownish color obviously fresh	0
food wa average	0
sure doe beat nacho movie would expect little bit coming restaurant	0
ha long bay wa bit flop	0
problem charge sandwich bigger subway sub offer better amount vegetable	0
shrimp unwrapped live mile brushfire wa literally ice cold	0
lacked flavor seemed undercooked dry	0
really impressive place closed	0
would avoid place staying mirage	0
refried bean came meal dried crusty food wa bland	0
spend money time place else	0
lady table next u found live green caterpillar salad	0
presentation food wa awful	0
tell disappointed wa	0
think food flavor texture lacking	0
appetite instantly gone	0
overall wa impressed would go back	0
whole experience wa underwhelming think go ninja sushi next time	0
wasted enough life poured salt wound drawing time took bring check	0
