review	Liked
also took forev bring us check ask	0
one make scene restaur get definit lost love thi one	0
disappoint experi	0
food par denni say good	0
want wait mediocr food downright terribl servic thi place	0
waaaaaayyyyyyyyyi rate say	0
go back	0
place wa fairli clean food simpli worth	0
thi place lack style	0
sangria wa half glass wine full wa ridicul	0
bother come	0
meat wa pretti dri slice brisket pull pork	0
build seem pretti neat bathroom pretti trippi eat	0
wa equal aw	0
probabl hurri go back	0
veri slow seat even reserv	0
good ani stretch imagin	0
cashew cream sauc wa bland veget undercook	0
chipolt ranch dip saus wa tasteless seem thin water heat	0
wa bit sweet realli spici enough lack flavor	0
wa veri disappoint	0
thi place horribl way overpr	0
mayb vegetarian fare twice thought wa averag best	0
busi know whi	0
tabl outsid also dirti lot time worker alway friendli help menu	0
ambianc feel like buffet set douchey indoor garden tea biscuit	0
con spotti servic	0
fri hot neither wa burger	0
came back cold	0
food came disappoint ensu	0
real disappoint wa waiter	0
husband said wa veri rude even apolog bad food anyth	0
onli reason eat would fill befor night bing drink get carb stomach	0
insult profound deuchebaggeri go outsid smoke break serv solidifi	0
someon order two taco think may part custom servic ask combo ala cart	0
wa quit disappoint although blame need place door	0
rave review wait eat disappoint	0
del taco pretti nasti avoid possibl	0
hard make decent hamburg	0
like	0
hell go back	0
gotten much better servic pizza place next door servic receiv thi restaur	0
know big deal thi place back ya	0
immedi said want talk manag want talk guy wa shot firebal behind bar	0
ambianc much better	0
unfortun onli set us disapppoint entre	0
food good	0
server suck wait correct server heimer suck	0
happen next wa pretti put	0
bad caus know famili realli want like thi place	0
overpr get	0
vomit bathroom mid lunch	0
kept look time soon becom minut yet still food	0
veri place eat circumst would ever return thi top list	0
start tuna sashimi wa brownish color obvious fresh	0
food wa averag	0
sure doe beat nacho movi would expect littl bit come restaur	0
ha long bay wa bit flop	0
problem charg sandwich bigger subway sub offer better amount veget	0
shrimp unwrap live onli mile brushfir wa liter ice cold	0
lack flavor seem undercook dri	0
realli impress place close	0
would avoid thi place stay mirag	0
refri bean came meal dri crusti food wa bland	0
spend money time place els	0
ladi tabl next us found live green caterpillar salad	0
present food wa aw	0
tell disappoint wa	0
think food flavor textur lack	0
appetit instantli gone	0
overal wa impress would go back	0
whole experi wa underwhelm think go ninja sushi next time	0
wast enough life pour salt wound draw time took bring check	0
